Playlist Title,"Chill Vibes Music"
Playlist URL,"https://www.youtube.com/playlist?list=PLH6MwNOJlzkT02fpA1nH_QUZz2AwoetoA"

Title,Channel,Published,URL
"Don't Lose Sight","Lawrence - Topic","01/09/2025",https://www.youtube.com/watch?v=Cqoa_WguNh4
"Deraj - Vibe ft. Eric Heron & Bree Kay (Official Audio)","Reflectionmusicgroup","01/09/2025",https://www.youtube.com/watch?v=inMjeEwzauA
"John K - If We Never Met (Lyrics)","Ethereal Music","01/09/2025",https://www.youtube.com/watch?v=ATE6kDsmuOE
"Devin Kennedy - No Worries [Official Lyric Video]","Devin Kennedy","01/09/2025",https://www.youtube.com/watch?v=QJZwOa2JtHA
"Labrinth - Sexy MF (Official Audio)","LabrinthVEVO","01/09/2025",https://www.youtube.com/watch?v=-wm6hX1cHbc
"Bea Miller - S.L.U.T. (Official Video)","BeaMillerVEVO","01/09/2025",https://www.youtube.com/watch?v=uGjCUY59B_0
"Matt Maeson - Hallucinogenics [Official Lyric Video]","Matt Maeson","01/09/2025",https://www.youtube.com/watch?v=gfveUZM8kqk
"Tom Aspaul - Traces","Tom Aspaul","01/09/2025",https://www.youtube.com/watch?v=LeHRKA2e_mw
"Ivy Adara - Pressure (Lyrics)","NewMelody","01/09/2025",https://www.youtube.com/watch?v=sKeH616CDFg
"Lea Heart - IDK Why (Lyric Video)","Lea Heart","01/09/2025",https://www.youtube.com/watch?v=l6Jr051UgYU
"Fantasy by Alina Baraz & Galimatias Lyrics","Janelle Mangassarian","01/09/2025",https://www.youtube.com/watch?v=U_U6EWJkRhA
"Confetti - Ghost (Lyrics)","7clouds","01/09/2025",https://www.youtube.com/watch?v=Ylwd5ugJ2hQ
"Flight Facilities - Lights Up feat. Channel Tres (Official Audio)","Flight Facilities","01/09/2025",https://www.youtube.com/watch?v=Fc08NJ2W7-I
