Playlist Title,"😞 Sad Songs"
Playlist URL,"https://music.youtube.com/playlist?list=PLH6MwNOJlzkRbIpRbmksm1cvfGW3voH3u&si=7Cd_eto4PWh8CZAx"

Title,Channel,Published,URL
"Lord Huron - The Night We Met (Official Audio)","Lord Huron","09/02/2015",https://www.youtube.com/watch?v=KtlgYxa6BMU
"Kodaline - All I Want (Lyrics)","Evolve","14/03/2022",https://www.youtube.com/watch?v=NRhmmqsZIpw
"The Ladder","Flagship - Topic","27/10/2022",https://www.youtube.com/watch?v=zA8hDipAAuA
"The Tracks (The Fool)","Margolnick - Topic","27/10/2022",https://www.youtube.com/watch?v=Ku22auGB1c4
"LADY OF LIGHT (saint lucia)","Hannah Sulak - Topic","21/12/2020",https://www.youtube.com/watch?v=ORBnHASmM08
"AG - Shine A Light (feat. Connie Lim) Sub Español/Lyrics","Girlmoon.","09/05/2020",https://www.youtube.com/watch?v=DMD9i2gw3_4
"Kishi Bashi - I Am the Antichrist to You (Official Audio)","Joyful Noise Recordings","06/07/2021",https://www.youtube.com/watch?v=epiOcz3HXNo
"Where Feet May Fail (Oceans) - Hillsong United - LYRICS","Christian Oracle (aka - BIBLICAL REVELATIONS)","22/02/2015",https://www.youtube.com/watch?v=TZomtjU7Fz4
"Gabrielle Aplin - Home (Lyrics)","GabrielleAplinVEVO","27/05/2013",https://www.youtube.com/watch?v=EPNgq4ZRxKg
"13 Angels Standing Guard 'Round The Side Of Your Bed","Silver Mt Zion - Topic","16/05/2018",https://www.youtube.com/watch?v=9fN7udMAMog
"sapientdream - Pastlives (lyrics)","TheGoodVibe","04/03/2020",https://www.youtube.com/watch?v=-TXtyYZIiWc
"Je te laisserai des mots","Marianne Beaulieu - Topic","02/05/2024",https://www.youtube.com/watch?v=TRjLYpXeofA
"In This Shirt","The Irrepressibles - Topic","02/04/2022",https://www.youtube.com/watch?v=UO5hm2WbVes
"snowfall","Øneheart - Topic","13/01/2022",https://www.youtube.com/watch?v=OtLcqr3RQJY
"Kishi Bashi - I Am the Antichrist to You (Official Video)","Joyful Noise Recordings","09/07/2012",https://www.youtube.com/watch?v=QaFnOnxPMBk
"Superman","Noah Hawley - Topic","13/08/2018",https://www.youtube.com/watch?v=OUq7CEkUzxw
"Skott - Overcome (Lyrics)","Florence","17/09/2022",https://www.youtube.com/watch?v=IpJL_OQs8-8
"Let Her Go","Passenger - Topic","11/12/2018",https://www.youtube.com/watch?v=B3EN7Ewwwvs
"The Last Bit Of Us","Dean Lewis - Topic","28/03/2024",https://www.youtube.com/watch?v=Az0WAwRoKgY
"Sick of Losing Soulmates","dodie - Topic","07/06/2018",https://www.youtube.com/watch?v=D7RNQIMf76M
"6/10","dodie - Topic","07/06/2018",https://www.youtube.com/watch?v=s6PdJEQ3XDo
"happiest year - Jaymes Young (slowed down + lyrics)","Nvem Rain","29/12/2019",https://www.youtube.com/watch?v=kfWuYTxwcP4
"Where The Shadow Ends (Acoustic)","BANNERS - Topic","26/03/2020",https://www.youtube.com/watch?v=73J2PJ-aves
"Villains","Luca Fogale - Topic","30/06/2016",https://www.youtube.com/watch?v=BIpLgSO3yEc
"Tomorrow Will Be Kinder (from The Hunger Games Soundtrack)","The Secret Sisters - Topic","12/12/2018",https://www.youtube.com/watch?v=QfR9qrPwoAQ
"Tom Odell - Another Love (Official Video)","TomOdellVEVO","05/11/2012",https://www.youtube.com/watch?v=MwpMEbgC7DA
