Playlist Title,"😞 Sad Songs"
Playlist URL,"https://www.youtube.com/playlist?list=PLH6MwNOJlzkRbIpRbmksm1cvfGW3voH3u"

Title,Channel,Published,URL
"Lord Huron - The Night We Met (Official Audio)","Lord Huron","19/09/2024",https://www.youtube.com/watch?v=KtlgYxa6BMU
"Kodaline - All I Want (Lyrics)","Evolve","19/12/2024",https://www.youtube.com/watch?v=NRhmmqsZIpw
"The Ladder","Flagship - Topic","28/12/2024",https://www.youtube.com/watch?v=zA8hDipAAuA
"The Tracks (The Fool)","Margolnick - Topic","28/12/2024",https://www.youtube.com/watch?v=Ku22auGB1c4
"LADY OF LIGHT (saint lucia)","Hannah Sulak - Topic","17/02/2022",https://www.youtube.com/watch?v=ORBnHASmM08
"AG - Shine A Light (feat. Connie Lim) Sub Español/Lyrics","Girlmoon.","17/02/2022",https://www.youtube.com/watch?v=DMD9i2gw3_4
"Kishi Bashi - I Am the Antichrist to You (Official Audio)","Joyful Noise Recordings","17/02/2022",https://www.youtube.com/watch?v=epiOcz3HXNo
"Where Feet May Fail (Oceans) - Hillsong United - LYRICS","Christian Oracle (aka - BIBLICAL REVELATIONS)","17/02/2022",https://www.youtube.com/watch?v=TZomtjU7Fz4
"Gabrielle Aplin - Home (Lyrics)","GabrielleAplinVEVO","03/07/2022",https://www.youtube.com/watch?v=EPNgq4ZRxKg
"13 Angels Standing Guard 'Round The Side Of Your Bed","Silver Mt Zion - Topic","21/11/2024",https://www.youtube.com/watch?v=9fN7udMAMog
"sapientdream - Pastlives (lyrics)","TheGoodVibe","21/11/2024",https://www.youtube.com/watch?v=-TXtyYZIiWc
"Je te laisserai des mots","Marianne Beaulieu - Topic","19/12/2024",https://www.youtube.com/watch?v=TRjLYpXeofA
"In This Shirt","The Irrepressibles - Topic","19/12/2024",https://www.youtube.com/watch?v=UO5hm2WbVes
"snowfall","Øneheart - Topic","19/12/2024",https://www.youtube.com/watch?v=OtLcqr3RQJY
"Kishi Bashi - I Am the Antichrist to You (Official Video)","Joyful Noise Recordings","19/12/2024",https://www.youtube.com/watch?v=QaFnOnxPMBk
"Superman","Noah Hawley - Topic","19/12/2024",https://www.youtube.com/watch?v=OUq7CEkUzxw
"Skott - Overcome (Lyrics)","Florence","11/01/2025",https://www.youtube.com/watch?v=IpJL_OQs8-8
"Let Her Go","Passenger - Topic","09/03/2025",https://www.youtube.com/watch?v=B3EN7Ewwwvs
"The Last Bit Of Us","Dean Lewis - Topic","28/03/2025",https://www.youtube.com/watch?v=Az0WAwRoKgY
"Sick of Losing Soulmates","dodie - Topic","30/03/2025",https://www.youtube.com/watch?v=D7RNQIMf76M
"6/10","dodie - Topic","30/03/2025",https://www.youtube.com/watch?v=s6PdJEQ3XDo
"happiest year - Jaymes Young (slowed down + lyrics)","Nvem Rain","25/04/2025",https://www.youtube.com/watch?v=kfWuYTxwcP4
"Where The Shadow Ends (Acoustic)","BANNERS - Topic","25/04/2025",https://www.youtube.com/watch?v=73J2PJ-aves
"Villains","Luca Fogale - Topic","21/05/2025",https://www.youtube.com/watch?v=BIpLgSO3yEc
"Tomorrow Will Be Kinder (from The Hunger Games Soundtrack)","The Secret Sisters - Topic","21/05/2025",https://www.youtube.com/watch?v=QfR9qrPwoAQ
"Tom Odell - Another Love (Official Video)","TomOdellVEVO","22/05/2025",https://www.youtube.com/watch?v=MwpMEbgC7DA
"Keane - Somewhere Only We Know (Official Music Video)","KeaneVEVO","22/05/2025",https://www.youtube.com/watch?v=Oextk-If8HQ
"To Build A Home","The Cinematic Orchestra - Topic","28/05/2025",https://www.youtube.com/watch?v=OAYuMygPkbI
"Tom Odell - Another Love (Lyrics)","7clouds","29/07/2025",https://www.youtube.com/watch?v=Jkj36B1YuDU
"As The World Caves In - Matt Maltese (Cover by Sarah Cothran)","Sarah Cothran","30/07/2025",https://www.youtube.com/watch?v=SqDjQPoJxiw
"Scared of Myself","Alexander Stewart - Topic","13/09/2025",https://www.youtube.com/watch?v=e1Yy8F1bipA
"This to Last Forever (Female)","Songcraft - Topic","19/09/2025",https://www.youtube.com/watch?v=PLxQW9BjafY
"Peter Gabriel - Heroes | Stranger Things 3 OST","Original Soundtrack","06/12/2025",https://www.youtube.com/watch?v=36QtIVQRsZg
"Heroes","Peter Gabriel - Topic","06/12/2025",https://www.youtube.com/watch?v=jn1UkLoK9ek
"the last song about you","Isaac Levi - Topic","29/12/2025",https://www.youtube.com/watch?v=aAqD4AIJjrQ
"Paper Cup","Thomas Day - Topic","29/12/2025",https://www.youtube.com/watch?v=7s91DzJ2UXY
"Billie Eilish - What Was I Made For? (Official Lyric Video)","BillieEilishVEVO","22/01/2026",https://www.youtube.com/watch?v=dpnTd9Dx2OM
"My heart won't stop crying","NiExshadow - Topic","17/03/2026",https://www.youtube.com/watch?v=0Te_ROKoqvw
