Title,Channel,Published,URL
"Corinne Bailey Rae - Put Your Records On","CorinneBaileyRaeVEVO","05/05/2025",https://www.youtube.com/watch?v=rjOhZZyn30k
"Three Little Birds ( Don't Worry About a Thing ) - Bob Marley","Dan","05/05/2025",https://www.youtube.com/watch?v=ApAth15BXVc
"Vanessa Carlton - A Thousand Miles","VanessaCarltonVEVO","05/05/2025",https://www.youtube.com/watch?v=Cwkej79U3ek
"Keane - Somewhere Only We Know (Official Music Video)","KeaneVEVO","22/05/2025",https://www.youtube.com/watch?v=Oextk-If8HQ
"Christina Perri - A Thousand Years [Official Music Video]","Christina Perri","22/05/2025",https://www.youtube.com/watch?v=rtOvBOTyX00
"Tom Odell - Another Love (Official Video)","TomOdellVEVO","22/05/2025",https://www.youtube.com/watch?v=MwpMEbgC7DA
"Snow Patrol - Chasing Cars (Official Video)","SnowPatrolVEVO","22/05/2025",https://www.youtube.com/watch?v=GemKqzILV4w
"Lewis Capaldi - Someone You Loved","LewisCapaldiVEVO","22/05/2025",https://www.youtube.com/watch?v=zABLecsR5UE
"The Fray - How To Save A Life (Official Video)","thefrayVEVO","22/05/2025",https://www.youtube.com/watch?v=cjVQ36NhbMk
"Lukas Graham - 7 Years [Official Music Video]","Lukas Graham","22/05/2025",https://www.youtube.com/watch?v=LHCob76kigA
"Avril Lavigne - Complicated (Official Video)","AvrilLavigneVEVO","22/05/2025",https://www.youtube.com/watch?v=5NPBIwQyPWE
"Owl City - Fireflies (Official Music Video)","OwlCityVEVO","22/05/2025",https://www.youtube.com/watch?v=psuRGfAaju4
"Timbaland - Apologize ft. OneRepublic","TimbalandVEVO","22/05/2025",https://www.youtube.com/watch?v=ZSM3w1v-A_Y
"Dancing On My Own","Calum Scott - Topic","02/06/2025",https://www.youtube.com/watch?v=pZs86eJOICg
"Iris","The Goo Goo Dolls - Topic","02/06/2025",https://www.youtube.com/watch?v=Dy_eP-mqWow
"Crazy","Gnarls Barkley - Topic","01/07/2025",https://www.youtube.com/watch?v=vBtvhPM2GHc
"Hey There Delilah","Plain White T's - Topic","01/07/2025",https://www.youtube.com/watch?v=oEeet9t--tI
"Sam Smith - Too Good At Goodbyes","SamSmithVEVO","09/07/2025",https://www.youtube.com/watch?v=J_ub7Etch2U
"Riptide","Vance Joy - Topic","13/08/2025",https://www.youtube.com/watch?v=En_6WWOWh8E
"Edward Sharpe & The Magnetic Zeros - Home (Official Video)","Rough Trade Records","14/02/2026",https://www.youtube.com/watch?v=DHEOF_rcND8
