Playlist Title,"Christmas Music"
Playlist URL,"https://www.youtube.com/playlist?list=PLH6MwNOJlzkQhRvc-svelctlvfwHkpAdc"

Title,Channel,Published,URL
"All I Want for Christmas Is You","Mariah Carey - Topic","30/11/2025",https://www.youtube.com/watch?v=fRyhqobl0sk
"Last Christmas","Wham! - Topic","18/12/2025",https://www.youtube.com/watch?v=GJvGf_ifiKw
"Santa Tell Me","Ariana Grande - Topic","18/12/2025",https://www.youtube.com/watch?v=2TEAh5SHZGs
"Mistletoe","Justin Bieber - Topic","18/12/2025",https://www.youtube.com/watch?v=g-HR0e4gLzQ
"Sleigh Ride","The Ronettes - Topic","18/12/2025",https://www.youtube.com/watch?v=oH4WG1x_KR8
"Rockin' Around The Christmas Tree","Brenda Lee - Topic","18/12/2025",https://www.youtube.com/watch?v=O1x-hOOrl5E
"Underneath the Tree","Kelly Clarkson - Topic","18/12/2025",https://www.youtube.com/watch?v=IuaW6w3Mh4c
"The Christmas Song (Merry Christmas To You)","Nat King Cole - Topic","18/12/2025",https://www.youtube.com/watch?v=1Jp3XIqTR2w
"Have Yourself A Merry Little Christmas (Remastered 1999)","Frank Sinatra - Topic","18/12/2025",https://www.youtube.com/watch?v=pvA7-EjaSPI
"I Saw Mommy Kissing Santa Claus","The Jackson 5   - Topic","18/12/2025",https://www.youtube.com/watch?v=U5resSXzMiI
"Wonderful Christmastime (Full Length Version / Remastered 2011)","Paul McCartney - Topic","18/12/2025",https://www.youtube.com/watch?v=-IHP9Acxa54
"It's the Most Wonderful Time of the Year","Andy Williams - Topic","18/12/2025",https://www.youtube.com/watch?v=9JQU_3Mx6xY
"Jingle Bell Rock","Bobby Helms - Topic","18/12/2025",https://www.youtube.com/watch?v=Qe1Bj7qIang
"Let It Snow! Let It Snow! Let It Snow!","Dean Martin - Topic","18/12/2025",https://www.youtube.com/watch?v=tZmY4L4cfus
"Merry Christmas Everyone","Shakin' Stevens - Topic","18/12/2025",https://www.youtube.com/watch?v=ectgjkpq6As
"Little Drummer Boy","Pentatonix - Topic","18/12/2025",https://www.youtube.com/watch?v=KYiUSalSjS0
"Mele Kalikimaka (Merry Christmas)","Bing Crosby - Topic","18/12/2025",https://www.youtube.com/watch?v=BtdEufWBDo8
"Feliz Navidad","José Feliciano - Topic","18/12/2025",https://www.youtube.com/watch?v=jj-oTtHTwVY
