Playlist Title,"🎃 Halloween"
Playlist URL,"https://www.youtube.com/playlist?list=PLH6MwNOJlzkQYabE_NEVlDz_J1ocK4YJj"

Title,Channel,Published,URL
"Ghostbusters (from the ""Ghostbusters"" Original Motion Picture Soundtrack)","Ray Parker, Jr. - Topic","31/10/2025",https://www.youtube.com/watch?v=Uvck7ItXwdc
"Monster Mash","Bobby ""Boris"" Pickett - Topic","31/10/2025",https://www.youtube.com/watch?v=bRLML36HnzU
"Spooky, Scary Skeletons","SONOBEAT - Topic","31/10/2025",https://www.youtube.com/watch?v=FPgR5d8AtNY
"Somebody's Watching Me","Rockwell - Topic","31/10/2025",https://www.youtube.com/watch?v=KFS9c852M_k
"Thriller","Michael Jackson - Topic","31/10/2025",https://www.youtube.com/watch?v=Z85lxckrtzg
"The Addams Family Theme (Instrumental Version)","The Hit Co. - Topic","31/10/2025",https://www.youtube.com/watch?v=cDvbGon1b_I
"Pet Sematary","Ramones - Topic","31/10/2025",https://www.youtube.com/watch?v=K758L9H4xSE
"Werewolves of London","Warren Zevon - Topic","31/10/2025",https://www.youtube.com/watch?v=lh0w01S7Jnk
"Running Up That Hill (A Deal With God) (2018 Remaster)","Kate Bush - Topic","31/10/2025",https://www.youtube.com/watch?v=HYwNM1t9ltI
"The Time Warp","Richard O'Brien - Topic","31/10/2025",https://www.youtube.com/watch?v=S91wQbYYX3Q
"Highway to Hell","Halloween & Musica de Terror Specialists - Topic","31/10/2025",https://www.youtube.com/watch?v=6U4tBGS6l0Q
"I Put a Spell on You","Halloween & Musica de Terror Specialists - Topic","31/10/2025",https://www.youtube.com/watch?v=qzvez5OXxS0
"Creep","Halloween & Musica de Terror Specialists - Topic","31/10/2025",https://www.youtube.com/watch?v=-8eOH3-y6Cc
"Abracadabra","Halloween & Musica de Terror Specialists - Topic","31/10/2025",https://www.youtube.com/watch?v=jbXoxBavNE4
"Superfreak","Halloween-All-Stars - Topic","31/10/2025",https://www.youtube.com/watch?v=1ZwP_kZowGw
"Sweet Dreams (Are Made of This)","Halloween & Musica de Terror Specialists - Topic","31/10/2025",https://www.youtube.com/watch?v=_zJPdgeeAOU
"Jump in the Line","Harry Belafonte - Topic","31/10/2025",https://www.youtube.com/watch?v=dgWXF32nxLs
"I'm Your Boogie Man","KC & The Sunshine Band - Topic","31/10/2025",https://www.youtube.com/watch?v=14cjzntN_58
"Cradles","Sub Urban - Topic","31/10/2025",https://www.youtube.com/watch?v=8_Cw99SiHvc
"NEONI - Darkside (Lyrics)","7clouds","31/10/2025",https://www.youtube.com/watch?v=s7-GTShjcqY
"Toxic","2WEI - Topic","31/10/2025",https://www.youtube.com/watch?v=N8K7jhijCfI
"X Games","Au/Ra - Topic","31/10/2025",https://www.youtube.com/watch?v=gc73VZ7cKGI
"what is wrong with me?","LeGrand - Topic","31/10/2025",https://www.youtube.com/watch?v=H2aAE7ngik8
"Right Behind You (run away)","Jack Harris - Topic","31/10/2025",https://www.youtube.com/watch?v=mKkOdPsy9-A
"Scared of the Dark","Em Beihold - Topic","31/10/2025",https://www.youtube.com/watch?v=hOhN9w5SQiQ
"Ariana Grande - 7 rings (Scary Version)","Moonlight Records","31/10/2025",https://www.youtube.com/watch?v=_jTVIOt8rso
