Playlist Title,"Pop Best of The Best"
Playlist URL,"https://www.youtube.com/playlist?list=PLH6MwNOJlzkQtwaVBmQXt9e8FsykbEKnZ"

Title,Channel,Published,URL
"Alan Walker - Faded","Alan Walker","08/08/2024",https://www.youtube.com/watch?v=60ItHLz5WEA
"The Chainsmokers - Closer (Lyric) ft. Halsey","ChainsmokersVEVO","08/08/2024",https://www.youtube.com/watch?v=PT2_F-1esPk
"Gotye - Somebody That I Used To Know (feat. Kimbra) [Official Music Video]","Gotye","08/08/2024",https://www.youtube.com/watch?v=8UVNT4wvIGY
"Michael Jackson - Billie Jean (Official Video)","michaeljacksonVEVO","08/08/2024",https://www.youtube.com/watch?v=Zi_XLOBDo_Y
"Queen – Bohemian Rhapsody (Official Video Remastered)","Queen Official","08/08/2024",https://www.youtube.com/watch?v=fJ9rUzIMcZQ
"Guns N' Roses - Sweet Child O' Mine (Official Music Video)","GunsNRosesVEVO","08/08/2024",https://www.youtube.com/watch?v=1w7OgIMMRc4
"Whitney Houston - I Will Always Love You (Official 4K Video)","whitneyhoustonVEVO","08/08/2024",https://www.youtube.com/watch?v=3JWTaaS7LdU
"Beyoncé - Halo","BeyoncéVEVO","08/08/2024",https://www.youtube.com/watch?v=bnVUHWCynig
"Amy Winehouse - Back To Black","AmyWinehouseVEVO","08/08/2024",https://www.youtube.com/watch?v=TJAfLE39ZZ8
"Marshmello & Anne-Marie - FRIENDS (Lyric Video) *OFFICIAL FRIENDZONE ANTHEM*","Marshmello","08/08/2024",https://www.youtube.com/watch?v=CY8E6N5Nzec
"Survivor - Eye Of The Tiger (Official HD Video)","SurvivorVEVO","08/08/2024",https://www.youtube.com/watch?v=btPJPFnesV4
"Coldplay - Viva La Vida (Official Video)","Coldplay","08/08/2024",https://www.youtube.com/watch?v=dvgZkm1xWPE
"Ed Sheeran - Shape Of You [Official Lyric Video]","Ed Sheeran","08/08/2024",https://www.youtube.com/watch?v=_dK2tDK9grQ
"Imagine Dragons - Believer (Lyrics)","7clouds","08/08/2024",https://www.youtube.com/watch?v=W0DM5lcj6mw
"Ariana Grande - One Last Time (Official Lyric Video)","ArianaGrandeVevo","08/08/2024",https://www.youtube.com/watch?v=Wg92RrNhB8s
"Kanye West - Stronger","KanyeWestVEVO","08/08/2024",https://www.youtube.com/watch?v=PsO6ZnUZI0g
"Avicii - Wake Me Up (Official Lyric Video)","AviciiOfficialVEVO","08/08/2024",https://www.youtube.com/watch?v=5y_KJAg8bHI
"Justin Bieber - Sorry (Lyric Video)","JustinBieberVEVO","08/08/2024",https://www.youtube.com/watch?v=8ELbX5CMomE
"Amy Winehouse - Rehab","AmyWinehouseVEVO","08/08/2024",https://www.youtube.com/watch?v=KUmZp8pR1uc
"Ed Sheeran - The A Team [Official Music Video]","Ed Sheeran","08/08/2024",https://www.youtube.com/watch?v=UAWcs5H-qgQ
"George Ezra - Shotgun (Official Lyric Video)","GeorgeEzraVEVO","09/08/2024",https://www.youtube.com/watch?v=v_B3qkp4nO4
"Set Fire to the Rain","Adele - Topic","08/08/2024",https://www.youtube.com/watch?v=a2giXO6eyuI
"Michael Bublé - Feeling Good [Official 4K Remastered Music Video]","Michael Bublé","08/08/2024",https://www.youtube.com/watch?v=Edwsf-8F3sI
"U2 - I Still Haven't Found What I'm Looking For (Official Music Video)","U2VEVO","08/08/2024",https://www.youtube.com/watch?v=e3-5YC_oHjE
"Selena Gomez, Marshmello - Wolves (Lyrics)","SyrebralVibes","08/08/2024",https://www.youtube.com/watch?v=xrbY9gDVms0
"Billie Eilish - bad guy (Lyrics)","7clouds","08/08/2024",https://www.youtube.com/watch?v=4-TbQnONe_w
"Amy Winehouse - Tears Dry On Their Own","AmyWinehouseVEVO","08/08/2024",https://www.youtube.com/watch?v=ojdbDYahiCQ
"Clean Bandit - Rockabye (Lyrics) feat. Sean Paul & Anne-Marie","7clouds","08/08/2024",https://www.youtube.com/watch?v=2VDdP7lYiiI
"Billie Eilish - lovely (Lyrics) ft. Khalid","7clouds","08/08/2024",https://www.youtube.com/watch?v=8VLXHyHRXjc
"Sia - Cheap Thrills (Lyrics) ft. Sean Paul","7clouds","08/08/2024",https://www.youtube.com/watch?v=mY9fNwGE7YA
"Zedd, Maren Morris, Grey - The Middle (Lyric Video)","ZEDDVEVO","08/08/2024",https://www.youtube.com/watch?v=Lj6Y6JCu-l4
"Doja Cat - Say So (Official Audio)","dojacatVEVO","08/08/2024",https://www.youtube.com/watch?v=uAYG46w1SCA
"Camila Cabello - Never Be the Same (Audio)","CamilaCabelloVEVO","08/08/2024",https://www.youtube.com/watch?v=FITSPSA8gQs
"Gnarls Barkley - Crazy","Gnarls Barkley videos 3","08/08/2024",https://www.youtube.com/watch?v=bd2B6SjMh_w
