Playlist Title,"🎤 Reprise"
Playlist URL,"https://www.youtube.com/playlist?list=PLH6MwNOJlzkTH-UEl3ABaV30llMB10DAx"

Title,Channel,Published,URL
"Kevin Garrett - Gone Again (Official Lyric Video)","Kevin Garrett","28/12/2024",https://www.youtube.com/watch?v=1y1ZH0RisOs
"Jessie Reyez - BEFORE LOVE CAME TO KILL US","JessieReyezVEVO","28/12/2024",https://www.youtube.com/watch?v=SP4M1WGquSU
"NO ONE’S IN THE ROOM","Jessie Reyez - Topic","17/08/2025",https://www.youtube.com/watch?v=1TisQewGhGU
"spill tab - cotton candy (music video)","spill tab","28/12/2024",https://www.youtube.com/watch?v=BalgC4iXpO8
"Lolo Zouaï - Chain (Official Audio)","Lolo Zouaï","28/12/2024",https://www.youtube.com/watch?v=0Yf8Z4bdhrU
"Camila Cabello - Never Be the Same (Audio)","CamilaCabelloVEVO","28/12/2024",https://www.youtube.com/watch?v=FITSPSA8gQs
"Jarryd James - Do You Remember (Lyrics Video)","j0ji","28/12/2024",https://www.youtube.com/watch?v=Tw4J4u2Rxm0
"Serenity - Journey to Ix","OAKH","28/12/2024",https://www.youtube.com/watch?v=Dl0DJ1vziEQ
"bülow - Not A Love Song (Official Video)","bülowVEVO","28/12/2024",https://www.youtube.com/watch?v=G_KAnrRpjts
"DVBBS & CMC$ - Not Going Home feat. Gia Koka (Official Video)","Ultra Records","28/12/2024",https://www.youtube.com/watch?v=zaaxUvi-zUE
"Eat Them Apples","Suzi Wu - Topic","28/12/2024",https://www.youtube.com/watch?v=Bs7lVqYBqys
"Au/Ra - Assassin (Lyric Video)","heyitsauraVEVO","28/12/2024",https://www.youtube.com/watch?v=BDwIzlPojW4
"GRAACE - Body Language","YtAudioOfficial","28/12/2024",https://www.youtube.com/watch?v=uLRWOHeoUnI
"Griff - Eternal Flame (Cover)","Griff","28/12/2024",https://www.youtube.com/watch?v=OIoWGR4F3Qo
"Miguel - Funeral (Lyrics)","Lyric Camp","28/12/2024",https://www.youtube.com/watch?v=oq8npOIZ2H8
"Orla Gartland - Figure It Out (lyric video)","Orla Gartland","28/12/2024",https://www.youtube.com/watch?v=0ySsWSlVoyY
"Victoria Canal - Victoria (Official Audio)","Victoria Canal","28/12/2024",https://www.youtube.com/watch?v=nF-KNTcWEAQ
"Astrid S - Airpods (Official Lyric Video)","AstridSofficialVEVO","28/12/2024",https://www.youtube.com/watch?v=r4gojb8Iz2s
