Playlist Title,"👑🌚 Royal Shadows"
Playlist URL,"https://www.youtube.com/playlist?list=PLH6MwNOJlzkRG_ibBpVKrvmhyF8-6jlEl"

Title,Channel,Published,URL
"Royal & the Serpent - Overwhelmed (Lyrics)","Unique Vibes","21/10/2022",https://www.youtube.com/watch?v=kGn13Apz8Tg
"The Score - Revolution (Official Audio)","TheScoreVEVO","21/10/2022",https://www.youtube.com/watch?v=b99r48grKGI
"Adam Jensen - Street Fight (Official Audio)","Adam Jensen","21/10/2022",https://www.youtube.com/watch?v=oh3ZwwdM-qs
"Woodkid - Run Boy Run","TheMrSanti","21/10/2022",https://www.youtube.com/watch?v=upgAIOsipLA
"Biig Piig - Feels Right (Audio)","BiigPiigVEVO","21/10/2022",https://www.youtube.com/watch?v=IbMMce4QwT8
"Omega Sapien - Plum ft Sega Bodega","LUCKYME®","21/10/2022",https://www.youtube.com/watch?v=DcNW-Z_riy0
"ODESZA - Loyal - Official Audio","ODESZA","21/10/2022",https://www.youtube.com/watch?v=Sz_YPczxzZc
"Bryce Fox - Horns (Lyrics)","Late Lyrics","21/10/2022",https://www.youtube.com/watch?v=Bs9PGQga6ic
"grandson - Blood // Water","GrandsonVEVO","21/10/2022",https://www.youtube.com/watch?v=Sk-U8ruIQyA
"Raja Kumari - KARMA (Audio)","RajaKumariVEVO","21/10/2022",https://www.youtube.com/watch?v=DrrNBKMW6Xo
"Lolo Zouaï - Chain (Official Audio)","Lolo Zouaï","21/10/2022",https://www.youtube.com/watch?v=0Yf8Z4bdhrU
"Sub Urban - Cradles (Lyrics)","7clouds","21/10/2022",https://www.youtube.com/watch?v=OE140zsQ08I
"Apashe - Work (ft. Vo Williams)","Apashe","21/10/2022",https://www.youtube.com/watch?v=hNjeAnwGhzc
"wonder & Yun Head - Bandits [Remix] (Official Lyric Video)","Yun Head","21/10/2022",https://www.youtube.com/watch?v=QCnOjOjgSu0
"Halsey - Castle (Audio)","HalseyVEVO","21/10/2022",https://www.youtube.com/watch?v=1rfSHisyHdc
"Welcome To My World (feat. Lyra) - Tommee Profitt","Tommee Profitt","22/11/2022",https://www.youtube.com/watch?v=nMvXTZgmBC0
"NEONI - Darkside (Lyrics)","7clouds","22/11/2022",https://www.youtube.com/watch?v=s7-GTShjcqY
"2WEI & Edda Hayes - BURN","2WEI","22/11/2022",https://www.youtube.com/watch?v=92pwZ8zUGbE
"2WEI  - Toxic (Official Britney Spears Epic Cover)","2WEI","23/11/2022",https://www.youtube.com/watch?v=yL7IRngzIdk
"Ariana Grande - 7 rings (Scary Version)","Moonlight Records","23/11/2022",https://www.youtube.com/watch?v=_jTVIOt8rso
"Ghost (Dark Version)","Confetti - Topic","04/06/2023",https://www.youtube.com/watch?v=OO3hWLj3_Zc
"Cradles","Sub Urban - Topic","04/06/2023",https://www.youtube.com/watch?v=8_Cw99SiHvc
"X Games","Au/Ra - Topic","04/06/2023",https://www.youtube.com/watch?v=gc73VZ7cKGI
"2WEI feat. Edda Hayes - Warriors (Official Imagine Dragons cover from League of Legends trailer)","2WEI","04/06/2023",https://www.youtube.com/watch?v=pEZIYGN5HIo
"MOST BADASS VOCAL BATTLE ACTION EVER | by Epikus","Epic Music World","04/06/2023",https://www.youtube.com/watch?v=zP_lAuTRRCI
"Colossal Trailer Music - Sentenced To Death (Powerful Action Hybrid)","Epic Music World","04/06/2023",https://www.youtube.com/watch?v=_nbZZaICuvI
"Lullaby of Woe - Ashley Serena (LYRICS)","Common Sense","04/06/2023",https://www.youtube.com/watch?v=ohNpf4VnlP8
"Con La Brisa (From ""Black Panther: Wakanda Forever - Music From and Inspired By""/Visual...","MarvelMusicVEVO","04/06/2023",https://www.youtube.com/watch?v=FSXcA0FPpbM
"Yair Albeg Wein & Or Kribos – Mephisto’s Lullaby (Xtortion Audio – Epic Halloween Music/Dark Vocal)","Epic Music Mania","04/06/2023",https://www.youtube.com/watch?v=ipCIlaij39E
"Assassin","Au/Ra - Topic","04/06/2023",https://www.youtube.com/watch?v=Rnm-5iQAbpk
"Bite Marks","Au/Ra - Topic","04/06/2023",https://www.youtube.com/watch?v=ez_zh-d78bs
"you should see me in a crown","Billie Eilish - Topic","04/06/2023",https://www.youtube.com/watch?v=K6xBwcQTGac
"The Fall","Tommee Profitt - Topic","16/04/2025",https://www.youtube.com/watch?v=E4hICQm0Gto
"what is wrong with me?","LeGrand - Topic","10/08/2025",https://www.youtube.com/watch?v=H2aAE7ngik8
"Gone","Jake Daniels - Topic","10/08/2025",https://www.youtube.com/watch?v=y9IwBc-LMYY
"Play with Fire (feat. Yacht Money)","Sam Tinnesz - Topic","13/08/2025",https://www.youtube.com/watch?v=smliX2zINbU
"Right Behind You (run away)","Jack Harris - Topic","23/08/2025",https://www.youtube.com/watch?v=mKkOdPsy9-A
"Bella Poarch - Build a B*tch (Official Music Video)","Bella Poarch","22/10/2025",https://www.youtube.com/watch?v=FLGCGc7sAUw
"Sub Urban - Cradles [Official Music Video]","Sub Urban","22/10/2025",https://www.youtube.com/watch?v=KBtk5FUeJbk
"Blood Guts & Pixie Dust","Neoni - Topic","26/10/2025",https://www.youtube.com/watch?v=KurkEpwAq2E
"Scared of the Dark","Em Beihold - Topic","26/10/2025",https://www.youtube.com/watch?v=hOhN9w5SQiQ
"Soap&Skin - Me And The Devil (Lyrics)","Rebel","06/01/2026",https://www.youtube.com/watch?v=T7Oe1H87yi8
